customer_id,first_name,last_name,email,customer_segment,loyalty_tier,loyalty_points,signup_date,preferred_location_id,first_order_date,last_order_date,total_orders,total_spend,avg_order_value,recency_days,avg_inter_visit_days,max_inter_visit_days,inter_visit_count,h1_orders,h1_spend,h1_aov,h2_orders,h2_spend,h2_aov,h1_unique_categories,h2_unique_categories,total_unique_categories,flag_increasing_recency,score_recency,frequency_change,flag_declining_frequency,score_declining_frequency,monetary_spend_change,monetary_aov_change,flag_declining_monetary,score_declining_monetary,category_diversity_change,flag_reduced_category_diversity,score_reduced_category_diversity,cadence_ratio,flag_lower_visit_frequency,score_lower_visit_frequency,risk_factors_count,churn_risk_score,churn_risk_tier,primary_risk_driver,recommended_retention_action
CUST-00001,William,Johnson,johnsonjoshua@example.org,OCCASIONAL,SILVER,1103,2023-02-22,LOC-018,2025-02-01,2025-02-01,1,133.01,133.01,333,0.0,0.0,0,1,133.01,133.01,0,0.0,0.0,6,0,6,True,1.0,-1,True,1.0,-133.01,-133.01,True,1.0,-6,True,1.0,0.0,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Win-Back Incentive: 20% Off Next Dine-in / Delivery Within 14 Days
CUST-00002,Jeffrey,Lawrence,jennifermiles@example.com,HIGH_VALUE,GOLD,4035,2024-03-09,LOC-007,2025-10-01,2025-10-01,1,438.06,438.06,91,0.0,0.0,0,0,0.0,0.0,1,438.06,438.06,0,8,8,False,0.5055555555555555,1,False,0.0,438.06,438.06,False,0.0,8,False,0.0,0.0,True,0.5055555555555555,1,0.2022,Low Churn Risk,Increasing Recency,VIP Loyalty Milestone Recognition & Exclusive Seasonal Preview
CUST-00003,Colin,Abbott,unregistered@guest.dineiq.com,OCCASIONAL,BRONZE,1239,2025-05-10,LOC-014,,,0,0.0,0.0,365,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,True,1.0,0,True,1.0,0.0,0.0,True,1.0,0,True,1.0,0.0,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Dormant Reactivation Campaign & Welcome Back Dining Voucher ($25 Off)
CUST-00004,Norman,Chavez,lindsay78@example.org,REGULAR,BRONZE,1478,2023-11-16,LOC-012,2025-05-25,2025-11-07,3,815.64,271.88,54,83.0,104.0,2,1,382.06,382.06,2,433.58,216.79,8,9,10,False,0.3,1,False,0.0,51.51999999999998,-165.27,False,0.0,1,False,0.0,0.6506024096385542,True,0.27666666666666667,1,0.1165,Low Churn Risk,Increasing Recency,Standard Loyalty Nurturing & Regular Seasonal Menu Updates
CUST-00005,Jeremy,Johnson,francisco53@example.net,OCCASIONAL,SILVER,2296,2023-03-31,LOC-010,2025-05-12,2025-05-12,1,361.64,361.64,233,0.0,0.0,0,1,361.64,361.64,0,0.0,0.0,8,0,8,True,1.0,-1,True,1.0,-361.64,-361.64,True,1.0,-8,True,1.0,0.0,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Win-Back Incentive: 20% Off Next Dine-in / Delivery Within 14 Days
CUST-00006,Rachael,Ross,richard13@example.net,NEW,BRONZE,226,2025-12-10,LOC-002,2025-09-16,2025-09-16,1,222.97,222.97,106,0.0,0.0,0,0,0.0,0.0,1,222.97,222.97,0,7,7,False,0.5888888888888889,1,False,0.0,222.97,222.97,False,0.0,7,False,0.0,0.0,True,0.5888888888888889,1,0.2356,Low Churn Risk,Increasing Recency,Standard Loyalty Nurturing & Regular Seasonal Menu Updates
CUST-00007,Allison,Maddox,wendytaylor@example.com,OCCASIONAL,GOLD,1053,2024-08-16,LOC-012,2025-10-11,2025-10-11,1,195.37,195.37,81,0.0,0.0,0,0,0.0,0.0,1,195.37,195.37,0,6,6,False,0.45,1,False,0.0,195.37,195.37,False,0.0,6,False,0.0,0.0,False,0.45,0,0.18,Low Churn Risk,Increasing Recency,VIP Loyalty Milestone Recognition & Exclusive Seasonal Preview
CUST-00008,Eric,Farmer,frazierdanny@example.net,REGULAR,BRONZE,1193,2024-12-29,LOC-006,2025-01-05,2025-01-05,1,357.34,357.34,360,0.0,0.0,0,1,357.34,357.34,0,0.0,0.0,6,0,6,True,1.0,-1,True,1.0,-357.34,-357.34,True,1.0,-6,True,1.0,0.0,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Win-Back Incentive: 20% Off Next Dine-in / Delivery Within 14 Days
CUST-00009,Stacey,Martin,georgetracy@example.org,OCCASIONAL,BRONZE,1654,2024-05-17,LOC-008,,,0,0.0,0.0,365,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,True,1.0,0,True,1.0,0.0,0.0,True,1.0,0,True,1.0,0.0,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Dormant Reactivation Campaign & Welcome Back Dining Voucher ($25 Off)
CUST-00010,Brianna,Hall,ibrandt@example.net,OCCASIONAL,BRONZE,231,2023-04-26,LOC-019,2025-01-06,2025-11-20,4,1201.73,300.4325,41,106.0,238.0,3,2,711.44,355.72,2,490.28999999999996,245.14499999999998,9,10,10,False,0.22777777777777777,0,False,0.0,-221.1500000000001,-110.57500000000005,True,0.31084842010570124,1,False,0.0,0.3867924528301887,True,0.3,2,0.1641,Medium Churn Risk,Declining Monetary Value,AOV Booster: Complimentary Dessert on Orders Above $75
CUST-00011,Jennifer,Khan,adrianzimmerman@example.org,CHURNED,BRONZE,561,2023-11-20,LOC-009,2025-06-20,2025-10-09,2,316.22,158.11,83,111.0,111.0,1,1,143.15,143.15,1,173.07,173.07,4,6,8,False,0.46111111111111114,0,False,0.0,29.919999999999987,29.919999999999987,False,0.0,2,False,0.0,0.7477477477477478,True,0.3,1,0.1603,Low Churn Risk,Increasing Recency,Dormant Reactivation Campaign & Welcome Back Dining Voucher ($25 Off)
CUST-00012,Richard,Morgan,esanchez@example.com,REGULAR,SILVER,1854,2024-06-23,LOC-005,2025-09-20,2025-11-20,3,875.0600000000001,291.68666666666667,41,30.5,45.0,2,0,0.0,0.0,3,875.0600000000001,291.68666666666667,0,10,10,False,0.22777777777777777,3,False,0.0,875.0600000000001,291.68666666666667,False,0.0,10,False,0.0,1.3442622950819672,False,0.27379781420765026,0,0.098,Low Churn Risk,Lower Visit Frequency,Standard Loyalty Nurturing & Regular Seasonal Menu Updates
CUST-00013,Denise,Fernandez,wrightjames@example.com,OCCASIONAL,SILVER,549,2023-07-07,LOC-020,2025-03-01,2025-03-01,1,241.33,241.33,305,0.0,0.0,0,1,241.33,241.33,0,0.0,0.0,9,0,9,True,1.0,-1,True,1.0,-241.33,-241.33,True,1.0,-9,True,1.0,0.0,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Win-Back Incentive: 20% Off Next Dine-in / Delivery Within 14 Days
CUST-00014,Joseph,Bowers,novaksara@example.org,HIGH_VALUE,PLATINUM,10168,2024-01-27,LOC-001,2025-04-10,2025-06-04,3,805.87,268.62333333333333,210,27.5,53.0,2,3,805.87,268.62333333333333,0,0.0,0.0,10,0,10,True,1.0,-3,True,1.0,-805.87,-268.62333333333333,True,1.0,-10,True,1.0,7.636363636363637,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation
CUST-00015,Brian,Silva,smitchell@example.net,OCCASIONAL,SILVER,2299,2023-08-24,LOC-010,,,0,0.0,0.0,365,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,True,1.0,0,True,1.0,0.0,0.0,True,1.0,0,True,1.0,0.0,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Dormant Reactivation Campaign & Welcome Back Dining Voucher ($25 Off)
CUST-00016,Robert,Silva,brianromero@example.org,REGULAR,BRONZE,1178,2025-07-19,LOC-004,,,0,0.0,0.0,365,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,True,1.0,0,True,1.0,0.0,0.0,True,1.0,0,True,1.0,0.0,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Dormant Reactivation Campaign & Welcome Back Dining Voucher ($25 Off)
CUST-00017,William,Anderson,sarah35@example.org,CHURNED,SILVER,569,2023-11-03,LOC-018,2025-10-08,2025-10-08,1,131.85,131.85,84,0.0,0.0,0,0,0.0,0.0,1,131.85,131.85,0,6,6,False,0.4666666666666667,1,False,0.0,131.85,131.85,False,0.0,6,False,0.0,0.0,False,0.4666666666666667,0,0.1867,Low Churn Risk,Increasing Recency,Dormant Reactivation Campaign & Welcome Back Dining Voucher ($25 Off)
CUST-00018,Joseph,Preston,nicole35@example.com,CHURNED,SILVER,381,2024-06-28,LOC-010,2025-08-18,2025-08-18,1,421.88,421.88,135,0.0,0.0,0,0,0.0,0.0,1,421.88,421.88,0,8,8,True,0.75,1,False,0.0,421.88,421.88,False,0.0,8,False,0.0,0.0,True,0.75,2,0.3,Medium Churn Risk,Increasing Recency,Dormant Reactivation Campaign & Welcome Back Dining Voucher ($25 Off)
CUST-00019,Joyce,Arnold,josephjacobs@example.net,REGULAR,GOLD,422,2024-05-09,LOC-018,2025-02-24,2025-07-11,2,467.63,233.815,173,137.0,137.0,1,1,241.35,241.35,1,226.28,226.28,7,5,7,True,0.9611111111111111,0,False,0.0,-15.069999999999993,-15.069999999999993,True,0.06244043919618808,-2,True,0.2857142857142857,1.2627737226277371,True,0.43138686131386855,4,0.3603,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation
CUST-00020,Rachel,Clark,hhoffman@example.org,NEW,BRONZE,168,2025-11-09,LOC-020,2025-06-09,2025-06-09,1,215.04,215.04,205,0.0,0.0,0,1,215.04,215.04,0,0.0,0.0,6,0,6,True,1.0,-1,True,1.0,-215.04,-215.04,True,1.0,-6,True,1.0,0.0,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Win-Back Incentive: 20% Off Next Dine-in / Delivery Within 14 Days
