customer_id,first_name,last_name,email,customer_segment,loyalty_tier,loyalty_points,signup_date,preferred_location_id,first_order_date,last_order_date,total_orders,total_spend,avg_order_value,recency_days,avg_inter_visit_days,max_inter_visit_days,inter_visit_count,h1_orders,h1_spend,h1_aov,h2_orders,h2_spend,h2_aov,h1_unique_categories,h2_unique_categories,total_unique_categories,flag_increasing_recency,score_recency,frequency_change,flag_declining_frequency,score_declining_frequency,monetary_spend_change,monetary_aov_change,flag_declining_monetary,score_declining_monetary,category_diversity_change,flag_reduced_category_diversity,score_reduced_category_diversity,cadence_ratio,flag_lower_visit_frequency,score_lower_visit_frequency,risk_factors_count,churn_risk_score,churn_risk_tier,primary_risk_driver,recommended_retention_action,revenue_at_risk
CUST-07227,Erica,Rice,james37@example.net,OCCASIONAL,GOLD,2223,2023-08-29,LOC-016,2025-02-20,2025-03-27,3,1785.6399999999999,595.2133333333333,279,17.5,31.0,2,3,1785.6399999999999,595.2133333333333,0,0.0,0.0,9,0,9,True,1.0,-3,True,1.0,-1785.6399999999999,-595.2133333333333,True,1.0,-9,True,1.0,15.942857142857143,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1785.64
CUST-04452,Manuel,Bailey,ustanton@example.net,HIGH_VALUE,PLATINUM,12829,2024-12-04,LOC-010,2025-01-22,2025-05-23,5,1687.0100000000002,337.40200000000004,222,30.25,72.0,4,5,1687.0100000000002,337.40200000000004,0,0.0,0.0,10,0,10,True,1.0,-5,True,1.0,-1687.0100000000002,-337.40200000000004,True,1.0,-10,True,1.0,7.338842975206612,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1687.01
CUST-28196,Deborah,Martin,catherinesalas@example.net,REGULAR,GOLD,1265,2023-04-03,LOC-019,2025-03-03,2025-04-13,4,1663.1100000000001,415.77750000000003,262,13.666666666666666,28.0,3,4,1663.1100000000001,415.77750000000003,0,0.0,0.0,10,0,10,True,1.0,-4,True,1.0,-1663.1100000000001,-415.77750000000003,True,1.0,-10,True,1.0,19.170731707317074,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1663.11
CUST-10302,Emily,Hatfield,michael34@example.org,HIGH_VALUE,PLATINUM,9425,2024-03-25,LOC-011,2025-01-04,2025-06-23,4,1589.11,397.2775,191,56.666666666666664,105.0,3,4,1589.11,397.2775,0,0.0,0.0,10,0,10,True,1.0,-4,True,1.0,-1589.11,-397.2775,True,1.0,-10,True,1.0,3.3705882352941177,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1589.11
CUST-29531,Jason,Bowers,nathan83@example.org,REGULAR,GOLD,324,2023-07-02,LOC-004,2025-02-05,2025-06-22,4,1527.61,381.9025,192,45.666666666666664,64.0,3,4,1527.61,381.9025,0,0.0,0.0,10,0,10,True,1.0,-4,True,1.0,-1527.61,-381.9025,True,1.0,-10,True,1.0,4.204379562043796,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1527.61
CUST-20704,Stacie,Ortiz,fpierce@example.net,HIGH_VALUE,GOLD,11082,2023-01-03,LOC-016,2025-06-06,2025-07-22,5,1767.7599999999998,353.55199999999996,162,11.5,33.0,4,4,1641.56,410.39,1,126.2,126.2,10,3,10,True,0.9,-3,True,0.75,-1515.36,-284.19,True,0.9231219084285679,-7,True,0.7,14.08695652173913,True,1.0,5,0.8521,High Churn Risk,Lower Visit Frequency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1506.31
CUST-41669,Jennifer,Bass,michaelrangel@example.org,HIGH_VALUE,PLATINUM,12418,2025-03-15,LOC-016,2025-01-13,2025-07-28,4,1804.83,451.2075,156,65.33333333333333,98.0,3,3,1585.66,528.5533333333334,1,219.17,219.17,10,4,10,True,0.8666666666666667,-2,True,0.6666666666666666,-1366.49,-309.38333333333344,True,0.8617799528272139,-6,True,0.6,2.3877551020408165,True,0.911655328798186,5,0.7824,High Churn Risk,Lower Visit Frequency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1412.1
CUST-35311,Donald,Richards,coopermary@example.org,OCCASIONAL,GOLD,2165,2025-03-07,LOC-018,2025-05-04,2025-06-02,2,1381.2,690.6,212,29.0,29.0,1,2,1381.2,690.6,0,0.0,0.0,9,0,9,True,1.0,-2,True,1.0,-1381.2,-690.6,True,1.0,-9,True,1.0,7.310344827586207,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1381.2
CUST-00441,Brianna,Henry,martinezsharon@example.org,OCCASIONAL,GOLD,1755,2024-05-08,LOC-016,2025-04-10,2025-06-27,4,1360.51,340.1275,187,26.0,39.0,3,4,1360.51,340.1275,0,0.0,0.0,10,0,10,True,1.0,-4,True,1.0,-1360.51,-340.1275,True,1.0,-10,True,1.0,7.1923076923076925,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1360.51
CUST-08081,Marc,Austin,sullivanrachel@example.net,REGULAR,GOLD,391,2024-11-30,LOC-007,2025-02-22,2025-06-09,4,1342.82,335.705,205,35.666666666666664,70.0,3,4,1342.82,335.705,0,0.0,0.0,10,0,10,True,1.0,-4,True,1.0,-1342.82,-335.705,True,1.0,-10,True,1.0,5.747663551401869,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1342.82
CUST-40606,Brianna,Gomez,michaelbates@example.com,REGULAR,GOLD,1073,2024-12-16,LOC-005,2025-01-09,2025-05-21,3,1315.89,438.63000000000005,224,66.0,79.0,2,3,1315.89,438.63000000000005,0,0.0,0.0,10,0,10,True,1.0,-3,True,1.0,-1315.89,-438.63000000000005,True,1.0,-10,True,1.0,3.393939393939394,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1315.89
CUST-16320,Julian,Stevens,norman57@example.net,HIGH_VALUE,PLATINUM,12317,2025-08-08,LOC-019,2025-01-07,2025-06-10,3,1304.33,434.77666666666664,204,77.0,90.0,2,3,1304.33,434.77666666666664,0,0.0,0.0,9,0,9,True,1.0,-3,True,1.0,-1304.33,-434.77666666666664,True,1.0,-9,True,1.0,2.6493506493506493,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1304.33
CUST-33237,Alison,Castaneda,rebecca16@example.net,HIGH_VALUE,GOLD,2718,2025-04-26,LOC-016,2025-01-02,2025-05-16,3,1278.6,426.2,229,67.0,72.0,2,3,1278.6,426.2,0,0.0,0.0,10,0,10,True,1.0,-3,True,1.0,-1278.6,-426.2,True,1.0,-10,True,1.0,3.417910447761194,True,1.0,5,1.0,High Churn Risk,Increasing Recency,Urgent VIP Concierge Outreach & Executive Chef Tasting Invitation,1278.6
