customer_id,first_name,last_name,email,phone_number,customer_segment,loyalty_tier,loyalty_points,signup_date,preferred_location_id,is_active,churn_risk_score
CUST-00001,William,Johnson,johnsonjoshua@example.org,(518)519-6001,OCCASIONAL,SILVER,1103,2023-02-22,LOC-018,True,0.3
CUST-00002,Jeffrey,Lawrence,jennifermiles@example.com,N/A,HIGH_VALUE,GOLD,4035,2024-03-09,LOC-007,True,0.048
CUST-00003,Colin,Abbott,unregistered@guest.dineiq.com,3268542351,OCCASIONAL,BRONZE,1239,2025-05-10,LOC-014,True,0.564
CUST-00004,Norman,Chavez,lindsay78@example.org,(518)349-5931x0341,REGULAR,BRONZE,1478,2023-11-16,LOC-012,True,0.246
CUST-00005,Jeremy,Johnson,francisco53@example.net,719-228-3276x483,OCCASIONAL,SILVER,2296,2023-03-31,LOC-010,True,0.256
CUST-00006,Rachael,Ross,richard13@example.net,001-653-876-7242x388,NEW,BRONZE,226,2025-12-10,LOC-002,True,0.272
CUST-00007,Allison,Maddox,wendytaylor@example.com,801-922-6916,OCCASIONAL,GOLD,1053,2024-08-16,LOC-012,True,0.59
CUST-00008,Eric,Farmer,frazierdanny@example.net,001-645-514-6270x48281,REGULAR,BRONZE,1193,2024-12-29,LOC-006,True,0.516
CUST-00009,Stacey,Martin,georgetracy@example.org,(443)903-9117x182,OCCASIONAL,BRONZE,1654,2024-05-17,LOC-008,True,0.321
CUST-00010,Brianna,Hall,ibrandt@example.net,001-734-265-7871x331,OCCASIONAL,BRONZE,231,2023-04-26,LOC-019,True,0.562
CUST-00011,Jennifer,Khan,adrianzimmerman@example.org,510.451.8347,CHURNED,BRONZE,561,2023-11-20,LOC-009,False,0.875
CUST-00012,Richard,Morgan,esanchez@example.com,311.265.6670,REGULAR,SILVER,1854,2024-06-23,LOC-005,True,0.604
CUST-00013,Denise,Fernandez,wrightjames@example.com,(362)247-3178,OCCASIONAL,SILVER,549,2023-07-07,LOC-020,True,0.269
CUST-00014,Joseph,Bowers,novaksara@example.org,(267)873-6026,HIGH_VALUE,PLATINUM,10168,2024-01-27,LOC-001,True,0.089
CUST-00015,Brian,Silva,smitchell@example.net,+1-272-734-3098,OCCASIONAL,SILVER,2299,2023-08-24,LOC-010,True,0.538
CUST-00016,Robert,Silva,brianromero@example.org,291-336-1939,REGULAR,BRONZE,1178,2025-07-19,LOC-004,True,0.637
CUST-00017,William,Anderson,sarah35@example.org,362-547-5107x991,CHURNED,SILVER,569,2023-11-03,LOC-018,False,0.916
CUST-00018,Joseph,Preston,nicole35@example.com,(378)449-8084,CHURNED,SILVER,381,2024-06-28,LOC-010,False,0.893
